,source,label,key,term,IRI,Status,ERROR,,,,,,,,,,,
Helena,Eisenmann,M1/M2 height,,,,,,,,,,,,,,,,
Helena,Eisenmann,M3 occlusal length of the protocone,,,,,,,,,,,,,,,,
Helena,Eisenmann,M3 height,,,,,,,,,,,,,,,,
Helena,Eisenmann,p2 length of the postflexid,,,,,,,,,,,,,,,,
Helena,Eisenmann,p2 length of the double-knot,,,,,,,,,,,,,,,,
Helena,Eisenmann,p2 height,,,,,,,,,,,,,,,,
Helena,Eisenmann,p3 occlusal length of the postflexid,,,,,,,,,,,,,,,,
Helena,Eisenmann,p3 length of the postflexid,,,,,,,,,,,,,,,,
Helena,Eisenmann,p3 length of the double-knot,,,,,,,,,,,,,,,,
Helena,Eisenmann,p3 height,,,,,,,,,,,,,,,,
Helena,Eisenmann,p4 occlusal length of the postflexid,,,,,,,,,,,,,,,,
Helena,Eisenmann,p4 length of the postflexid,,,,,,,,,,,,,,,,
Helena,Eisenmann,p4 length of the double-knot,,,,,,,,,,,,,,,,
Helena,Eisenmann,p4 height,,,,,,,,,,,,,,,,
Helena,Eisenmann,p3/p4 occlusal length,,,,,,,,,,,,,,,,
Helena,Eisenmann,p3/p4 occlusal breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,p3/p4 occlusal length of the postflexid,,,,,,,,,,,,,,,,
Helena,Eisenmann,p3/p4 occlusal length of the double-knot,,,,,,,,,,,,,,,,
Helena,Eisenmann,p3/p4 height,,,,,,,,,,,,,,,,
Helena,Eisenmann,p3/p4 tooth height,,,,,,,,,,,,,,,,
Helena,Eisenmann,m1 occlusal length of the postflexid,,,,,,,,,,,,,,,,
Helena,Eisenmann,m1 length of the postflexid,,,,,,,,,,,,,,,,
Helena,Eisenmann,m1 length of the double-knot,,,,,,,,,,,,,,,,
Helena,Eisenmann,m2 occlusal length of the postflexid,,,,,,,,,,,,,,,,
Helena,Eisenmann,m2 occlusal length of the double-knot,,,,,,,,,,,,,,,,
Helena,Eisenmann,m2 length of the postflexid,,,,,,,,,,,,,,,,
Helena,Eisenmann,m2 length of the double-knot,,,,,,,,,,,,,,,,
Helena,Eisenmann,m1/m2 height,,,,,,,,,,,,,,,,
Helena,Eisenmann,m1/m2 length of the postflexid,,,,,,,,,,,,,,,,
Helena,Eisenmann,m1/m2 length of the double-knot,,,,,,,,,,,,,,,,
Helena,Eisenmann,m1/m2 occlusal length,,,,,,,,,,,,,,,,
Helena,Eisenmann,m1/m2 occlusal breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,m3 occlusal length of the postflexid,,,,,,,,,,,,,,,,
Helena,Eisenmann,m3 occlusal length of the double-knot,,,,,,,,,,,,,,,,
Helena,Eisenmann,m3 length of the postflexid,,,,,,,,,,,,,,,,
Helena,Eisenmann,m3 length of the double-knot,,,,,,,,,,,,,,,,
Helena,Eisenmann,Calcaneum maximal length,,calcaneus length,FOVT:0000022,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,Calcaneum length of the proximal part,,calcaneus proximal length,FOVT:0001047,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,Calcaneum minimal breadth,,breadth of calcaneal body,FOVT:0001078,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,Calcaneum proximal maximal breadth,,calcaneus proximal breadth,FOVT:0001080,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,Calcaneum proximal maximal depth,,calcaneus proximal depth,FOVT:0001081,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,Calcaneum distal maximal breadth,,calcaneus distal breadth,FOVT:0000023,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,Calcaneum distal maximal depth,,calcaneus distal depth,FOVT:0001048,in FOVT,,,,,,,,,,,,
Helena,Eisenmann,IPHIII maximal length,,,,,,,,,,,,,,,,
Helena,Eisenmann,IPHIII anterior length,,,,,,,,,,,,,,,,
Helena,Eisenmann,IPHIII minimal breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,IPHIII proximal breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,IPHIII proximal depth,,,,,,,,,,,,,,,,
Helena,Eisenmann,IPHIII distal breadth at the tuberosities,,,,,,,,,,,,,,,,
Helena,Eisenmann,IPHIII distal articular breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,IPHIII distal articular depth,,,,,,,,,,,,,,,,
Helena,Eisenmann,IPHIII minimal length of the trigonum phalangis,,,,,,,,,,,,,,,,
Helena,Eisenmann,IIPHIII maximal length,,,,,,,,,,,,,,,,
Helena,Eisenmann,IIPHIII anterior length,,,,,,,,,,,,,,,,
Helena,Eisenmann,IIPHIII minimal breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,IIPHIII proximal maximal breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,IIPHIII proximal maximal depth,,,,,,,,,,,,,,,,
Helena,Eisenmann,IIPHIII distal articular maximal breadth,,,,,,,,,,,,,,,,
Helena,Eisenmann,IIIPHIII maximal breadth,,,,,,,,,,,,,,,,
